date,acres,lat,lon
2001-09-14T08:00:00Z,0.1,48.168647,-117.163579
1980-06-20T08:00:00Z,0.1,47.226362,-120.587324
1998-09-12T08:00:00Z,0.1,47.11397,-122.793973
1998-08-22T08:00:00Z,0.2,47.11397,-122.793973
1985-10-04T08:00:00Z,0.2,47.11397,-122.793973
1985-05-01T08:00:00Z,0.0,47.11397,-122.793973
1985-03-17T08:00:00Z,1.5,47.11397,-122.793973
1996-08-10T08:00:00Z,1.0,47.11397,-122.793973
1988-06-07T08:00:00Z,0.1,48.919999,-119.835224
1984-08-04T08:00:00Z,0.1,48.78665,-119.623377
1972-09-18T08:00:00Z,0.0,47.613981,-122.724627
1982-08-04T08:00:00Z,0.0,47.222838,-123.235093
1979-03-24T08:00:00Z,1.0,47.222838,-123.235093
1976-10-20T08:00:00Z,0.1,47.222838,-123.235093
1972-08-04T08:00:00Z,0.1,47.222838,-123.235093
1977-08-11T08:00:00Z,1.0,45.859049,-122.651333
2001-08-13T08:00:00Z,0.5,47.986952,-117.417518
1986-10-12T08:00:00Z,1.3,47.269,-121.394593
1993-01-01T08:00:00Z,0.0,48.52389,-117.776717
1991-08-19T08:00:00Z,0.1,46.787276,-122.90028
1997-08-23T08:00:00Z,120.0,47.909279,-117.387636
1993-10-21T08:00:00Z,0.0,48.810813,-117.821366
1989-05-02T08:00:00Z,0.5,47.332035,-122.841065
1974-08-09T08:00:00Z,0.0,46.351208,-122.542107
1970-07-26T08:00:00Z,0.0,46.351208,-122.542107
2003-08-30T08:00:00Z,2.0,46.545077,-122.238941
1979-07-27T08:00:00Z,3.0,48.094266,-123.221832
1984-10-20T08:00:00Z,0.0,47.490525,-121.809587
1982-06-21T08:00:00Z,3.0,48.766561,-117.965915
1976-07-23T08:00:00Z,0.1,48.766561,-117.965915
1978-07-13T08:00:00Z,0.2,46.988873,-122.833837
1979-07-04T08:00:00Z,0.2,47.867687,-117.37909
1978-06-09T08:00:00Z,0.1,47.867687,-117.37909
1991-09-07T08:00:00Z,0.1,48.505558,-121.735993
1978-07-25T08:00:00Z,0.5,47.350737,-121.98497
1976-05-05T08:00:00Z,0.0,47.350737,-121.98497
1975-09-15T08:00:00Z,0.1,47.350737,-121.98497
2002-01-01T08:00:00Z,0.0,48.192138,-117.750547
1982-07-14T08:00:00Z,1.0,47.396272,-122.790596
1981-07-19T08:00:00Z,0.0,47.294713,-123.217895
1972-05-22T08:00:00Z,0.1,47.294713,-123.217895
1999-09-09T08:00:00Z,0.5,47.510271,-117.473616
2002-10-20T08:00:00Z,0.1,47.510271,-117.473616
1992-06-21T08:00:00Z,0.0,47.731634,-121.860649
1997-08-19T08:00:00Z,30.0,47.578,-117.478649
2004-06-19T08:00:00Z,0.0,47.169848,-123.189445
2003-09-05T08:00:00Z,0.1,46.538639,-121.860306
2004-06-18T08:00:00Z,0.1,48.545449,-121.74622
1988-07-17T08:00:00Z,0.2,47.814733,-117.381445
2000-10-12T08:00:00Z,0.3,48.273724,-119.856029
2002-08-26T08:00:00Z,4.0,48.749196,-117.876794
2002-07-04T08:00:00Z,0.1,47.883465,-117.661627
2001-01-01T08:00:00Z,0.0,47.883465,-117.661627
1992-06-28T08:00:00Z,0.1,45.958494,-122.33106
2002-08-08T08:00:00Z,0.2,47.626035,-117.199356
1977-09-11T08:00:00Z,0.1,46.62698,-122.960738
1975-06-10T08:00:00Z,0.1,46.62698,-122.960738
1975-05-24T08:00:00Z,0.1,46.62698,-122.960738
1974-06-16T08:00:00Z,0.1,46.62698,-122.960738
1972-08-30T08:00:00Z,0.1,46.62698,-122.960738
1972-05-05T08:00:00Z,0.2,46.62698,-122.960738
1971-08-08T08:00:00Z,0.1,46.62698,-122.960738
1979-06-02T08:00:00Z,0.3,45.875247,-120.812156
1986-08-14T08:00:00Z,0.1,46.092496,-122.315996
1993-01-01T08:00:00Z,0.0,47.837197,-117.758668
1987-07-04T08:00:00Z,1.5,47.837197,-117.758668
2002-08-30T08:00:00Z,0.0,48.28699,-118.010469
1982-08-23T08:00:00Z,4.0,46.525231,-122.897119
1987-09-26T08:00:00Z,3.5,48.794148,-119.289696
2006-07-05T08:00:00Z,0.1,47.716518,-117.333268
1986-08-04T08:00:00Z,0.0,47.716518,-117.333268
1986-07-24T08:00:00Z,1.5,47.716518,-117.333268
1986-06-24T08:00:00Z,0.2,47.716518,-117.333268
1981-08-30T08:00:00Z,0.1,46.670124,-123.0665
1999-09-10T08:00:00Z,0.1,48.008356,-117.309124
1979-07-09T08:00:00Z,0.1,47.153696,-120.465442
1976-08-16T08:00:00Z,0.0,47.153696,-120.465442
1979-01-08T08:00:00Z,1.5,47.871736,-121.723832
